File,Cross-Entropy,Overall,Overall Binary
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/LabelledLayout.java,11.447905111312867,"{1.6717e-10,0.522658,0.477342,9.50927e-08}",True
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLDiscriminatorNameDocument.java,54.26456832885742,"{0.993417,0.00658346,7.92256e-12,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLExpressionPanel.java,24.836788177490234,"{0.985931,0.0140686,8.42778e-10,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLIncludeBaseListModel.java,49.50014114379883,"{0.978809,0.021191,1.89057e-09,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLMessageActivatorComboBoxModel.java,13.439559936523438,"{0.0240528,0.975938,8.91338e-06,2e-20}",True
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLModelElementSourceFlowListModel.java,59.3049430847168,"{0.988667,0.0113334,2.46646e-11,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLOFSStateListModel.java,25.3407940864563,"{2.89434e-06,0.73082,0.269177,5.706e-17}",True
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLSignalComboBoxModel.java,36.84505808353424,"{0.771724,0.228276,2.48338e-09,0.0}",False
dataset/argoUML/sourcefiles/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLTemplateParameterParameterComboBoxModel.java,25.408414602279663,"{0.191239,0.808751,9.92388e-06,9e-20}",True
dataset/argoUML/sourcefiles/modules/dev/src/org/argouml/dev/UndoManagerWrapper.java,43.95232009887695,"{7.11734e-11,0.999999,8.72392e-07,0.0}",True
